ISSN, OBJECT ID, SIRSI DATE, SFX DATE
0013-063X, 954921341152, [1852-], [1852-]
0020-5346, 954921346227, [1966-], [1966-]
0032-2687, 954921356393, [1970-], [1970-]
0039-3606, 954921360456, [1965-], [1965-]
0070-3370, 954921365533, [1964-], [1964-]
0092-0703, 954921366550, [1973-], [1973-]
0092-8623, 954921366553, [1997], [1997-1997]
0167-4544, 954921376712, [1982-], [1982-]
0168-7034, 954921376722, [Record not found in Sirsi], [1977-]
0195-3613, 954921378759, [1980-], [1980-]
0197-4254, 954921379770, [1973-], [1973-]
0217-4561, 954921380785, [1983-], [1983-]
0885-7458, 954921405237, [Record not found in Sirsi], [1972-]
0920-6299, 954921410341, [1988-2007], [1988-2007]
0920-8550, 954921410342, [1987-], [1987-]
0921-898X, 954921410343, [1989-], [1989-]
0931-8658, 954921411350, [Record not found in Sirsi], [1929-]
1094-3412, 954921427649, [1998-], [1972-]
0092-8240, 954922647077, [1973-1994, 1997-], [1973-1994, 1997-]
1355-8145, 954922652202, [1996-], [1996-]
0021-3640, 954922836224, [1996-], [1996-]
1063-7761, 954922836229, [1997-], [1997-]
1063-7796, 954922836231, [2006-], [2006-]
1063-7826, 954922836232, [1997-], [1997-]
1063-7834, 954922836233, [1997-], [1997-]
1063-7842, 954922836234, [1997-], [1997-]
1063-7850, 954922836235, [1997-], [1997-]
0001-7701, 954925263179, [1970-], [1970-]
0004-0002, 954925263184, [1971-], [1971-]
0006-2928, 954925263188, [1967-], [1967-]
0010-3853, 954925264192, [1965-], [1965-]
0015-9018, 954925264200, [1970-], [1970-]
0020-7748, 954925264206, [1968-], [1968-]
0030-770X, 954925264213, [1969-], [1969-]
0094-5145, 954925265229, [1975-], [1975-]
0147-2011, 954925266255, [1984-], [1963-]
0147-5916, 954925266256, [1977-], [1977-]
0160-7715, 954925266263, [1978-], [1978-]
0163-2116, 954925266265, [v.24(1979)-], [1956-]
0300-7839, 954925269321, [1972-], [1972-]
0360-0025, 954925270349, [1975-], [1975-]
0361-0365, 954925270351, [1973-], [1973-]
0737-8262, 954925270362, [Record not found in Sirsi], [1988-]
0895-4852, 954925271383, [Record not found in Sirsi], [1987-]
1019-6781, 954925274467, [1991-1996, 2009-], [1991-1996, 2009-]
1053-881X, 954925275487, [1994-2005], [1994-2005]
1064-7570, 954925275498, [1993-], [1993-]
1068-9605, 954925275502, [1994-], [1994-]
1083-3021, 954925276512, [1996-], []
1084-4791, 954925276513, [1995-], [1995-]
1096-6838, 954925276523, [1997-], [1982-]
1098-092X, 954925276525, [1998-], [1980-]
1524-8879, 954925282676, [1999-], [1999-]
0001-5342, 954925373797, [1935-], [1935-]
0001-5903, 954925373807, [1971-], [1971-]
0001-5962, 954925373808, [1882-], [1882-]
0001-5970, 954925373809, [1965-], [1965-]
0001-6268, 954925374812, [1950-], [1950-]
0001-6322, 954925374814, [1961-], [1961-]
0001-7051, 954925374824, [2001-], [2001-]
0001-8244, 954925374831, [1970-], [1970-]
0003-021X, 954925378927, [1947-], [1947-]
0003-0589, 954925378933, [1923-1997, 1997-1997], [1923-1997, 1997-1997]
0003-2417, 954925379950, [1994-], [1994-]
0003-4347, 954925379972, [1946-], [1946-]
0003-6072, 954925380994, [1934-], [1934-]
0003-6862, 954925380998, [1966-], [1966-]
0003-889X, 954925381010, [1948-], [1948-]
0003-9519, 954925381020, [1960-], [1960-]
0003-9527, 954925381021, [1957-], [1957-]
0004-640X, 954925382054, [1968-], [1968-]
0005-1179, 954925383083, [2001-], [2001-]
0006-2979, 954925384104, [2000-], [2000-]
0006-3088, 954925384106, [2006-], [2006-]
0006-3134, 954925384108, [1959-], [1959-]
0006-8101, 954925385132, [1935-], [1933-]
0006-8314, 954925385134, [1970-], [1970-]
0007-196X, 954925386155, [1931-], [1931-]
0007-4861, 954925386165, [1966-], [1966-]
0009-3092, 954925390253, [1965-], [1965-]
0009-398X, 954925390258, [1970-], [1970-]
0009-4722, 954925390266, [1996-], [1996-]
0009-5893, 954925390267, [1968-], [1968-]
0009-5915, 954925390268, [1947-], [1947-]
0009-921X, 954925391294, [1963-1999, 2002-], [1963-1999, 2002-]
0010-2571, 954925392311, [1929-], [1929-]
0010-3616, 954925392313, [1965-], [1965-]
0010-485X, 954925392328, [1966-], [1966-]
0010-5082, 954925392329, [1965-], [1965-]
0010-7999, 954925393337, [1947-], [1947-]
0011-4626, 954925394365, [1952-2006], [1952-2006]
0012-186X, 954925394387, [1965-], [1965-]
0012-3706, 954925395395, [1958-1996, 2004-], [1958-1996, 2004-]
0012-4486, 954925395398, [1938-], [1938-]
0012-9402, 954925395411, [1888-], [1888-]
0013-0001, 954925395417, [1947-], [1946-]
0013-0451, 954925396420, [1961-2004], [1961-2004]
0014-2336, 954925398482, [1952-], [1952-]
0014-3065, 954925398491, [], [1958-]
0014-4819, 954925398496, [1966-], [1966-]
0014-4851, 954925398497, [1961-], [1961-]
0015-5551, 954925399526, [1966-1997], [1966-1997]
0015-5632, 954925399527, [1959-1996, 2003-], [1959-1996, 2003-]
0015-7899, 954925400538, [1930-], [1930-]
